categorie;question;reponse1;reponse2;reponse3;reponse4
Britney Spears;En quelle année Britney Spears a-t-elle vu le jour dans le Mississippi ?;1981;1984;1978;1987
Britney Spears;Combien de disques de diamant Britney Spears avait-elle à son actif début 2020 ?;Deux;Un;Trois;Quatre
Britney Spears;De quel style Britney Spears est-elle crédité d'avoir influencé la renaissance ?;Teen pop;Noise pop;J-pop;Europop
Britney Spears;Comment Britney Spears est-elle habillée dans le clip « ...Baby One More Time » ?;En écolière;En cosmonaute;En lionne;En policière
Britney Spears;Avec qui Britney Spears a-t-elle écrit « Heart-to-Heart », son premier livre ?;Sa mère;Sa soeur;Son frère;Son père
Britney Spears;De quel télé-crochet Britney Spears fut-elle une des jurés ?;« The X-Factor »;« American Idol »;« The Simple Life »;« Celebrity Boxing »
Britney Spears;Avec lequel de ses époux Britney Spears est-elle apparue dans sa propre télé-réalité ?;Kevin Federline;David Lucado;Jason Trawick;Charlie Ebersol
Britney Spears;Quel titre de Britney Spears à remporté le Grammy Award de la chanson dance en 2004 ?;« Toxic »;« Soda Pop »;« Stronger »;« Lucky »
Britney Spears;Combien de millions de disques Britney Spears avait-elle vendu à travers le monde fin 2019 ?;200 millions;160 milions;120 millions;240 millions
Britney Spears;Avec qui Britney Spears a-t-elle chanté en duo « Me Against the Music » ?;Madonna;Jennifer Lopez;Christina Aguilera;Dido
Britney Spears;Quelle soeur de Britney Spears a commencé sa carrière comme actrice ?;Jamie Lynn;Emma Jean;Tony Finn;Sarah Jane
Britney Spears;En 1998, quel label a le premier pris Britney Spears sous contrat ?;Jive Records;Apple Records;Virgin Records;Hansa Records
Britney Spears;Quel titre de son second album a été écrit par Britney Spears elle-même ?;« Dear Diary »;« Lucky »;« Stronger »;« What U See »
Britney Spears;Quelle artiste a écrit pour Britney Spears le titre « I'm Not a Girl, Not Yet a Woman » ?;Dido;Sam Brown;Pixie Lott;Ellie Goulding
Britney Spears;Quel est l'unique film où Britney Spears détient un rôle de premier plan ?;« Crossroads »;« Blood Out »;« Carjacked »;« Roxxy »
Britney Spears;Quel titre fut interprété en ouverture des MTV Video Music Awards 2007 ?;« Gimme More »;« Break the Ice »;« Radar »;« Piece of Me »
Britney Spears;Quel album est sorti le jour du 27e anniversaire de la chanteuse Britney Spears ?;« Circus »;« Blackout »;« Britney »;« In the Zone »
Britney Spears;Quelle chanson Britney Spears a-t-elle enregistré pour la BO des « Schtroumpfs 2 » ?;« Ooh La La »;« Sometimes »;« Perfume »;« Slumber Party »
Britney Spears;En quelle année Britney Spears fut-elle la musicienne la mieux payée de l'année ?;2012;2014;2016;2010
Britney Spears;Quel clip de Britney Spears, extrait de son album « Blackout », est un anime japonais ?;« Break the Ice »;« Freakshow »;« Hot as Ice »;« Perfect Lover »
Britney Spears;Dans quelle pièce de théâtre de Broadway Britney Spears a-t-elle joué à dix ans ?;« Ruthless! »;« The Ferryman »;« Saint Joan »;« Torch Song »
Britney Spears;Quel groupe musical Britney Spears a-t-elle formé avec Nikki DeLoach ?;Innosense;Lunik;Detonation;Nemless
Britney Spears;Quel duo a produit le son très rhythm and blues du titre « I'm a Slave for You » de Britney Spears ?;The Neptunes;House of Pain;The Spooks;OutKast
Britney Spears;Pour quel album Britney Spears a-t-elle collaboré avec Moby et R. Kelly ?;« In the Zone »;« Circus »;« Blackout »;« Britney »
Britney Spears;Pour quel clip Britney s'est-elle essayé pour la première fois à la réalisation ?;« Do Somethin »;« Gimme More »;« Lucky »;« Stronger »
Britney Spears;Quelle reprise de Suzanne Vega Britney Spears a-t-elle faite avec Giorgio Moroder ?;« Tom's Diner »;« Luka »;« In the Eye »;« Calypso »
Britney Spears;Dans quelle série de Ryan Murphy Britney Spears apparaît-elle en tant que guest-star ?;« Glee »;« Bones »;« Damages »;« Charmed »
Britney Spears;Quel restaurant Britney Spears a-t-elle ouvert le 27 juin 2002 à New York ?;Nyla;Lola;Bella;Nuna
Britney Spears;Avec qui Britney Spears vend-elle des parfums à son nom ?;Elizabeth Arden;Cynthia Carroll;Clara Furse;Anita Roddick
Britney Spears;Quelle application pour iPhone et iPod touch Britney Spears a-t-elle lancé en 2009 ?;« It's Britney »;« Intimate »;« Fantasy Twist »;« Dance Beat »
Château;Dans les jardins de quel château peut-on admirer une superbe orangerie ?;Versailles;Chenonceau;Fontainebleau;Sceaux
Château;Quel château fut la résidence d'été des papes installés en Avignon au XIVe siècle ?;Châteauneuf-du-Pape;Château Margaux;Château Pétrus;Château Lafite
Château;Au début du Moyen Âge, en quelle matière les premiers châteaux forts étaient-ils construits ?;Bois;Paille;Fer;Pierres
Château;Comment appelle-t-on la plus haute tour d'un château fort ?;Donjon;Guette;Bastille;Tour flanquante
Château;Comment appelle-t-on le fossé, généralement rempli d'eau, qui entoure un château fort ?;Douves;Chemise;Contrescarpe;Latrines
Château;Quelle petite ouverture pratiquée dans le mur des châteaux permettait d'observer l'ennemi ?;Meurtrière;Criminelle;Bouchère;Egorgeuse
Château;Quelle partie du château abritait autrefois les appartements du seigneur ?;Donjon;Beffroi;Hourd;Parapet
Château;Quelle était la résidence favorite des Rois de France à la renaissance ?;Blois;Amboise;Fontainebleau;Meudon
Château;Qui fut l'architecte des jardins à la française du château de Vaux-le-Vicomte ?;André Le Nôtre;Louis le Vau;Pascal Cribier;Charles Le Brun
Château;Que trouve-t-on en général derrière le pont-levis d'un château ?;Herse;Meurtrières;Douves;Tourelle
Château;Dans quel département français pouvez-vous visiter le château de Chenonceau ?;Indre-et-Loire;Vaucluse;Dordogne;Finistère
Château;Comment appelle-t-on une petite tour dans un château fort ?;Tourelle;Tourette;Tourine;Touronne
Château;Dans quel château est présumé être enterré Léonard de Vinci ?;Amboise;Blois;Sully-Sur-Loire;Saumur
Château;Quel château est à la base la résidence de chasse de François 1er ?;Chambord;Tours;Blois;Amboise
Château;De quel château Hergé s'est-il inspiré pour créer le château de Moulinsart ?;Cheverny;Langeais;Villandry;Chaumont
Château;Près de quelle ville Louis XIV a-t-il fait construire sa future résidence ?;Versailles;Angers;Fontainebleau;Chambord
Château;Dans quelle ville peut-on visiter le château des ducs de Bretagne ?;Nantes;Rennes;Brest;Angers
Château;Lequel de ces ensembles architecturaux médiévaux appartient au patrimoine UNESCO ?;Carcassonne;Fénétrange;Yvoire;Liverdun
Château;Quel château ayant appartenu au Grand Condé au XVIIe siècle était un lieu de fêtes ?;Chantilly;Versailles;Chenonceau;Fontainebleau
Château;Dans quelle ville de France se trouve le château d'Henri IV, classé monument historique ?;Pau;Toulouse;Bordeaux;Mont-de-Marsan
Château;Quelles tours coiffées de toitures coniques sont caractéristiques du château médiéval ?;Poivrières;Salières;Pimentières;Safranières
Château;Quelle petite porte dérobée est parfois pratiquée dans une muraille de château ?;Poterne;Herse;Escarpe;Bretèche
Château;Quelle muraille relie deux tours en architecture militaire médiévale ?;Courtine;Poterne;Herse;Escarpe
Château;Quelle structure de pierre placée au sommet d'une tour permet un tir fichant ?;Mâchicoulis;Bastillon;Merlon;Gabion
Château;Quel palais possède le même nom qu'un pays du « Seigneur des anneaux » de Tolkien ?;Palais Rohan;Palais Mordor;Palais Gondor;Palais Moria
Château;Dans la rade de quelle ville peut-on apercevoir le château d'If ?;Marseille;Nice;Toulon;Nantes
Château;Quel château classé comprend trois donjons bâtis à trois époques différentes ?;Falaise;Olivet;Caen;Vire
Château;Quel château est notamment composé de 17 tours édifiées sous le règne de Saint-Louis ?;Angers;Toulon;Rambures;Falaise
Château;Quel château de la Somme est bâti presque entièrement en briques ?;Rambures;Bertangles;Raincheval;Folleville
Château;Quel château de Mayenne composé de huit tours fut construit en seulement une année ?;Lassay;Courbeveille;Fresnay;Terchant
Histoire de France;Quelle ville française était appelée la cité des papes au Moyen Âge ?;Avignon;Tours;Metz;Nantes
Histoire de France;Quel diplomate français a succédé au Cardinal de Richelieu ?;Jules Mazarin;Philippe Mancini;Charles de Mantoue;Antonio Barberini
Histoire de France;Quelle reine de France a porté le chapeau dans l'affaire du collier ?;Marie-Antoinette;Marie-Joséphine;Marie-Thérèse;Marie-Louise
Histoire de France;Quand François Mitterrand fut-il élu président de la France pour la première fois ?;1981;1976;1986;1991
Histoire de France;Quelle ville Jeanne d'Arc a-t-elle héroïquement libérée des Anglais ?;Orléans;Angers;Le Mans;Tours
Histoire de France;Quel homme d'État français fut surnommé le Tigre ou encore le Père la victoire ?;Clémenceau;Foch;Joffre;Poincaré
Histoire de France;Quelle héroïne de l'histoire de France était la Pucelle d'Orléans ?;Jeanne d'Arc;Rita de Cascia;Hélène Duglioli;Alessandra Scala
Histoire de France;Sur quelle principauté a régné la maison de Matignon ?;Monaco;Cambrai;Foucarmont;Condé
Histoire de France;Quel journal a brillé en sortant le premier l'affaire des diamants de Bokassa ?;Canard Enchaîné;Charlie Hebdo;Minute;Paris Match
Histoire de France;Quel Guillaume, duc de Normandie, parfois surnommé le Bâtard, a conquis l'Angleterre ?;Le Conquérant;Le Chevelu;Le Pieux;Le Hardi
Histoire de France;Quelle ville assiégée Gambetta a-t-il dû quitter en ballon ?;Paris;Lyon;Rouen;Toulouse
Histoire de France;Quel roi a révoqué l'édit de Nantes en 1685, ayant donné la liberté de religion ?;Louis XIV;Henri IV;Charles IX;François II
Histoire de France;Quel était le surnom du fils de Napoléon 1er et de Marie-Louise ?;L'Aiglon;Le Corsaire;L'Incapable;Le Mal aimé
Histoire de France;Quel chevalier franc et comte urbain a été trahi par Ganelon au col de Roncevaux ?;Roland;Perceval;Marsile;Gauvain
Histoire de France;De quelle manière François Ravaillac a-t-il tué le roi Henri IV ?;Poignardé;Empoisonné;Décapité;Fusillé
Histoire de France;Quel code régissait la vie d'une grande partie de la cour de Louis XIV ?;Étiquette;Bonjour;Pourboire;Mayade
Histoire de France;Quel pays Bertrand Du Guesclin a-t-il combattu durant toute sa vie ?;Angleterre;Allemagne;Italie;Pays-Bas
Histoire de France;Quel âge avait Clovis lorsqu'il fut élu roi des Francs en 481 ?;16 ans;14 ans;12 ans;10 ans
Histoire de France;À quelle élection présidentielle s'est présenté pour la première fois Michel Rocard ?;1969;1972;1975;1978
Histoire de France;Quel corsaire malouin s'est évadé d'Angleterre et a rejoint St-Malo à la rame ?;Jean Bart;Jean Bernanos;Nicolas Surcouf;Philippe Bequel
Histoire de France;Quel droit adopté en 1792 a été rétabli par la loi Naquet en 1884 ?;Droit au divorce;Droit à la retraite;Droit au vote;Droit à l'euthanasie
Histoire de France;Quel roi a fait installer les premières boîtes aux lettres dans Paris ?;Louis XIV;Henri IV;Charles IX;François II
Histoire de France;À quel fruit les caricaturistes comparaient-ils la tête du roi Louis-Philippe ?;Poire;Banane;Fraise;Citron
Histoire de France;Quel était l'emblème du régime de Vichy en France pendant la guerre ?;Francisque;Fleur de lys;Croix de Lorraine;Cosse de genêts
Histoire de France;De quel roi de France le duc de Sully fut-il le ministre ?;Henri IV;Louis XIV;Charles IX;François II
Histoire de France;Quel roi de la dynastie mérovingienne fut conseillé par Saint Eloi ?;Dagobert;Sigebert;Caribert;Childebert
Histoire de France;Combien de prisonniers y avait-il dans la Bastille le 14 juillet 1789 ?;7;47;167;1 257
Histoire de France;Quelle expression a été utilisée pour la première fois à propos du Père Joseph ?;Éminence grise;Suprême rouge;Stratège bleu;Bérurier noir
Histoire de France;Quel roi, connu sous le titre de comte d'Artois, a succédé à Louis XVIII ?;Charles X;Henri IV;François II;Jean II
Histoire de France;Quel évêque a baptisé Clovis à Reims un 25 décembre ?;Saint Rémi;Saint Paul;Saint Justin;Saint André
Invention;Qui a réussi à imposer la commercialisation de la poubelle ?;Eugène Poubelle;Louis Lépine;Bertrand Landrieu;Ferdinand Duval
Invention;Laquelle de ces inventions ne porte pas le nom de son inventeur ?;Le laser;Le colt;La poubelle;Le macadam
Invention;Quelle compétition prime chaque année les meilleures inventions françaises ?;Concours Lépine;Concours Edison;Concours Thomas;Concours Novastar
Invention;Quel jeu de société international Chris Haney et Scott Abbott ont-ils créé ?;Trivial Pursuit;Monopoly;Puissance 4;Cluedo
Invention;Qui a inventé la dynamite au moyen de la nitroglycérine ?;Alfred Nobel;Albert Einstein;Lavoisier;Isaac Newton
Invention;Quel biologiste français a inventé la pasteurisation de la bière ?;Louis Pasteur;Maurice Fontaine;Thomas Preat;Laurent Chabry
Invention;Quel inventeur italien a conçu à la fin du XVe siècle un canon et un parachute ?;Léonard de Vinci;Roberto Galletti;Ettore Bugatti;Alessandro Volta
Invention;Selon des textes anciens, dans quel pays a-t-on inventé le cerf-volant ?;Chine;Inde;États-Unis;Mexique
Invention;En quelle année la couturière Mary Quant a-t-elle inventé la minijupe ?;1964;1974;1954;1944
Invention;Quel billet le banquier Law a-t-il inventé au XVIIIe siècle ?;Le billet de banque;Le billet de loterie;Le billet doux;Le billet notarial
Invention;Quel terme fut inventé en 1955 par le philologue français Jacques Perret ?;Ordinateur;Transistor;Imprimante;Ampoule
Invention;Quel français a inventé le stéthoscope, alors une simple liasse de papiers roulés ?;René Laennec;Louis Pasteur;Léon Binet;Louis Braille
Invention;Quelle grande marque inventa en 1936 le sac à dos aux nombreuses applications ?;Lafuma;Puma;Adidas;Lacoste
Invention;Charles Darrow, inventeur du jeu de Monopoly, était lors de son invention en 1935...;Au chômage;Banquier;Agent immobilier;En prison
Invention;Quel savant italien a découvert le principe de la pile électrique ?;Volta;Bugatti;Turriano;Marconi
Invention;Quelle invention Nicolas Appert a-t-il mise au point pour les armées de Napoléon ?;Conserve;Lit de camp;Tissu imperméable;Ceinturon
Invention;Quelle marque a inventé la cassette audio ou minicassette ?;Philips;Sony;BASF;Fuji
Invention;Quel célèbre médecin a conçu une table de correspondance entre les rêves et les organes ?;Hippocrate;Pythagore;Pilate;Icare
Invention;À qui doit-on le prototype de la première dynamo industrielle réalisé en 1869 ?;Zénobe Gramme;John Cockerill;Frédéric Neuhaus;Victor Simon
Invention;Quel physicien et mathématicien italien a inventé le baromètre en 1643 ?;Torricelli;Piazzi;Blaserna;Grassi
Invention;Quel ingénieur écossais fut le premier à utiliser le terme « cheval-vapeur » ?;James Watt;Henry Dyer;Alexander Thom;William Rankine
Invention;Selon la légende, quelle spécialité le grec Aphtonite aurait-il inventée ?;Le boudin noir;Le saucisson;Les rillettes;Le jambon cru
Invention;Quelle société a inventé (et pas breveté) la souris de votre ordinateur ?;Xerox;Microsoft;Hewlett Packard;IBM
Invention;Quel était le véritable métier de Samuel Morse, qui déposa en 1840 le brevet du télégraphe ?;Peintre sculpteur;Compositeur lyrique;Écrivain éditeur;Apprenti danseur
Invention;Quel docteur et professeur en médecine est connu pour avoir inventé le basket-ball ?;James Naismith;Gordon Herbert;Martin Roy;Jacques Dextraze
Invention;Dans quel pays le « Lego » a-t-il été inventé par un charpentier ?;Danemark;Norvège;Suède;Finlande
Invention;Quel inventeur français a mis au point la première carte à puce ?;Roland Moreno;Léon Bollée;Henri Fourel;Gustave Lyon
Invention;Combien de brevets furent déposés par Thomas Edison au cours de sa vie ?;1 074;57;234;421
Invention;Louis Réard a inventé le bikini, mais quel était son véritable métier ?;Ingénieur automobile;Barbier;Charcutier;Coiffeur
Invention;Quelle était la nationalité des deux ingénieurs inventeurs du carburateur ?;Hongroise;Roumaine;Suisse;Autrichienne
Tintin;Dans quelle aventure Tintin se retrouve-t-il face à un impressionnant Yeti ?;« Tintin au Tibet »;« Tintin au Congo »;« Le Lotus bleu »;« Coke en Stock »
Tintin;Quel est le juron préféré du capitaine Haddock, meilleur ami de Tintin ?;Mille sabords;Nom de Zeus;Tonnerre du diable;Boursicot
Tintin;De qui est amoureuse la cantatrice italienne Bianca Castafiore ?;Haddock;Tintin;Tournesol;Nestor
Tintin;Dans Tintin, quelle est la différence visuelle entre Dupond et Dupont ?;La moustache;Le chapeau;Le nez;Le costume
Tintin;Quel personnage est en lévitation sur la couverture des « Sept Boules de cristal » ?;Tournesol;Tintin;Haddock;Milou
Tintin;Dans quelle ville Tintin se fait-il enlever dans « Tintin en Amérique » ?;Chicago;New York;Detroit;Texas
Tintin;Qui a volé les Bijoux de la Castafiore, dont une émeraude de grande valeur ?;Une pie;Les frères Loiseau;Tryphon Tournesol;Les bohémiens
Tintin;Quelle est la suite de l'album « Les Sept Boules de cristal » ?;« Le Temple du Soleil »;« Coke en stock »;« Tintin au Tibet »;« Le Lotus bleu »
Tintin;De qui le pirate Rackham le Rouge est-il un lointain ancêtre ?;Haddock;Tournesol;Nestor;Tintin
Tintin;Dans quel album Tintin se rend-il dans une colonie belge ?;« Tintin au Congo »;« Tintin en Amérique »;« Tintin au Tibet »;« Coke en stock »
Tintin;Quel phénomène spectaculaire sauve Tintin et ses amis dans « Le temple du soleil » ?;Éclipse de soleil;Ouragan;Séisme;Avalanche
Tintin;Le dernier album de Tintin achevé par Hergé est paru en 1976. Quel en était le titre ?;« Tintin et les Picaros »;« Tintin au Congo »;« Tintin au Tibet »;« Vol 714 pour Sydney »
Tintin;Quel métier Roberto Rastapopoulos exerce-t-il dans « Les Cigares du pharaon » ?;Producteur;Assureur;Banquier;Scientifique
Tintin;Dans Tintin, le château de Moulinsart apparaît pour la première fois dans « Le »...;« Secret de la Licorne »;« Lotus bleu »;« Temple du Soleil »;« Sceptre d'Ottokar »
Tintin;Quelle est la marque de whisky préférée du Capitaine Haddock ?;Loch Lomond;Loch Fields;Loch Mahouss;Loch Ness
Tintin;Quel est le prénom du Professeur Tournesol dans les aventures de Tintin ?;Tryphon;Hyppolite;Séraphin;Archibald
Tintin;Que désigne le mot « coke » dans la bande dessinée « Coke en stock » ?;Des esclaves;De la drogue;Des boissons;Du charbon
Tintin;Sur la couverture de quel album Tintin est-il représenté une arme à la main ?;« Vol 714 pour Sydney »;« Tintin au Congo »;« Le lotus bleu »;« Tintin en Amérique »
Tintin;Quelle est la nationalité du milliardaire Rastapopoulos ?;Grecque;Indienne;Marocaine;Anglaise
Tintin;À quoi est attaché Tintin sur la couverture de « Tintin en Amérique » ?;Un totem indien;Un tonneau;Un chariot;Un taureau
Tintin;Quel château de la Loire a servi de modèle pour le château de Moulinsart ?;Cheverny;Chenonceau;Chambord;Chaumont
Tintin;Comment se nomme le moine qui a des visions dans « Tintin au Tibet » ?;Foudre Bénie;Grand Pachacamac;Savoir Infini;Grand Précieux
Tintin;Dans les aventures de Tintin, quelle est la profession de Séraphin Lampion ?;Assureur;Banquier;Journaliste;Policier
Tintin;Quel est le prénom de Haddock, capitaine de marine marchande ?;Archibald;Isidore;Gustave;Mauricien
Tintin;Dans « Les Bijoux de la Castafiore », quel journal annonce les noces de la diva ?;« Paris-Flash »;« Jours de Paris »;« Stars de France »;« Ici Pour Vous »
Tintin;Quel personnage a inspiré Hergé pour créer le Professeur Tournesol ?;Auguste Piccard;Albert Einstein;Thomas Edison;Graham Bell
Tintin;Avant de devenir le domestique du Capitaine Haddock, pour qui travaillait Nestor ?;Les frères Loiseau;Rastapopoulos;La Castafiore;Müller
Tintin;Quel acteur joua le rôle de Tintin au cinéma dans les années 1960 ?;Jean-Pierre Talbot;André Marie;Max Elloy;Serge Marquand
Tintin;Dans Tintin, quel est le numéro de téléphone de Moulinsart ?;421;441;641;246
Tintin;Quel artiste aurait inspiré Hergé pour le personnage de Tchang ?;Zhang Chongren;Wang Shiyan;Liu Xiaodong;Fang Lijun
